792081506017669120 : #FlashbackFriday A caddy way to refer to my uncle's PTSD from Nam '	$ , # D N N P V P D S ^ P ^ ,	0.6172 0.8627 0.6794 0.9657 0.9556 0.9249 0.9984 0.9987 0.9962 0.9983 0.7029 0.6736 0.9992 0.9208 0.8957	792081506017669120: #FlashbackFriday A caddy way to refer to my uncle's PTSD from Nam'
792081416976789504 : I literally fell down because of fireworks . Fuck you #PTSD	$ , O R V T P P N , V O #	0.4293 0.9293 0.9951 0.9989 0.9911 0.6603 0.9941 0.9429 0.9698 0.9978 0.9628 0.9990 0.8447	792081416976789504: I literally fell down because of fireworks. Fuck you #PTSD
792081382990381058 : @ptsd_artist I feel like hunting these 7 , sorry 6 , FUCKS down & having a bloody stern word with them !! BETRAYED HUMANITY #nasa #ASTRONOTS	$ , @ O V P N D $ , A $ , V T & V D A A N P O , V N # #	0.3919 0.8960 0.9985 0.9967 0.9996 0.8984 0.5980 0.9001 0.9935 0.9976 0.9769 0.9932 0.9961 0.7717 0.5357 0.9913 0.9996 0.9972 0.9736 0.8227 0.9773 0.9998 0.9184 0.9957 0.9824 0.9656 0.7417 0.9879	792081382990381058: @ptsd_artist I feel like hunting these 7, sorry 6, FUCKS down &amp; having a bloody stern word with them!! BETRAYED HUMANITY #nasa #ASTRONOTS
792079630912131073 : That flight triggered my PTSD and gave me flashbacks to Mile High Club	$ , D N V D ^ & V O N P ^ ^ ^	0.4184 0.9664 0.9301 0.9854 0.9983 0.9959 0.5542 0.9983 0.9996 0.9406 0.7555 0.9977 0.8559 0.9168 0.7103	792079630912131073: That flight triggered my PTSD and gave me flashbacks to Mile High Club
792079424283869184 : @jaymohr37	$ , @	0.4332 0.8845 0.9974	792079424283869184: @jaymohr37 
Jags uniforms last night triggered my PTSD from changing baby diapers that exploded up the back of the onesie .	^ N A N V D N P V N N P V T D N P D N ,	0.9399 0.6369 0.9508 0.9925 0.9994 0.9959 0.6680 0.9988 0.9662 0.9855 0.9838 0.8690 0.9993 0.8812 0.9932 0.9210 0.9984 0.9988 0.9268 0.9983	Jags uniforms last night triggered my PTSD from changing baby diapers that exploded up the back of the onesie.
#jaymohrsports	#	0.9457	 #jaymohrsports
792078387221102592 : @ejgabriel9 Thank you .. I really can't wait til this is over .. Not to make light of PTSD but I think I'm suffering from it ..	$ , @ V O , O R V V P O V P , R P V N P ^ & O V L V P O ,	0.4545 0.8960 0.9974 0.9674 0.9984 0.9968 0.9987 0.9973 0.9999 0.9993 0.9744 0.9761 0.9991 0.5555 0.9929 0.9940 0.9949 0.9926 0.9861 0.9968 0.9690 0.9952 0.9994 0.9997 0.9985 0.9911 0.9988 0.9970 0.9924	792078387221102592: @ejgabriel9 Thank you..I really can't wait til this is over..Not to make light of PTSD but I think I'm suffering from it..
792078384469639169 : @JLeeKenser Have you ever tried #arttherapy for #PTSD ? Its been a lifesaver for me .	$ , @ V O R V # P ^ , L V D N P O ,	0.4421 0.8960 0.9966 0.9993 0.9989 0.9890 0.9771 0.2686 0.9969 0.7588 0.9978 0.9910 0.9925 0.9963 0.9660 0.9999 0.9990 0.9988	792078384469639169: @JLeeKenser Have you ever tried #arttherapy for #PTSD? Its been a lifesaver for me.
792077927928176640 : @wru4me Bloody fireworks at any excuse . Wildlife , livestock , pets , elderly , PTSD suverers ... but no , I want to see needless shiny in the sky	$ , @ A N P D N , N , N , N , A , ^ N , & R , O V P V A A P D N	0.6172 0.8960 0.9979 0.9869 0.9973 0.9998 0.9922 0.9830 0.9973 0.8706 0.9974 0.9774 0.9976 0.9823 0.9982 0.9208 0.9978 0.8931 0.3789 0.9702 0.9966 0.5821 0.9983 0.9981 0.9999 0.9955 0.9978 0.8465 0.9081 0.9985 0.9994 0.7854	792077927928176640: @wru4me Bloody fireworks at any excuse. Wildlife, livestock, pets, elderly, PTSD suverers... but no, I want to see needless shiny in the sky
792077809682350085 : 14 . i guess winning the spelling bee in 4th grade was nice	$ , $ , O V V D N N P A N V A	0.4384 0.9231 0.9921 0.9976 0.9866 0.9998 0.9952 0.9997 0.9978 0.7518 0.9930 0.8393 0.9940 0.9950 0.9966	792077809682350085: 14. i guess winning the spelling bee in 4th grade was nice
15 . he gave me ptsd so thanks	$ , O V O N P N	0.9882 0.9970 0.9962 1.0000 0.9893 0.4099 0.8723 0.9224	15. he gave me ptsd so thanks 
16 . the whole self-titled blind melon album	$ , D A A A N N	0.9941 0.9974 0.9989 0.9563 0.8014 0.9878 0.9813 0.9942	16. the whole self-titled blind melon album
792077434782973952 : I have put up an ad , looking for a place to live #MD CL , hope 2 find good #affordable #housing for #winter #homeless #man I am . #bpd #ptsd	$ , O V V T D N , V P D N P V # ^ , V P V A A N P # # # O V , # #	0.4545 0.9293 0.9969 0.9997 0.9552 0.9778 0.9962 0.9981 0.9981 0.9918 0.9990 0.9979 0.9977 0.9990 0.9541 0.4995 0.3705 0.9808 0.8884 0.8333 0.9948 0.9959 0.8882 0.9761 0.9988 0.6287 0.9280 0.5599 0.9956 0.9955 0.9965 0.8972 0.9851	792077434782973952: I have put up an ad, looking for a place to live #MD CL, hope 2 find good #affordable #housing for #winter #homeless #man I am. #bpd #ptsd
792076371627483136 : We have to remind our LGBTQ siblings that PTSD doesn't just happen in Afghanistan . #NJLGBTQA16 #CallToAction #MentalHealth	$ , O V P V D ^ N P ^ V R V P ^ , # # #	0.4319 0.9573 0.9950 0.9995 0.9968 1.0000 0.9912 0.4781 0.9569 0.9364 0.9375 0.9739 0.9996 0.9997 0.9705 0.9956 0.9939 0.8895 0.9949 0.9893	792076371627483136: We have to remind our LGBTQ siblings that PTSD doesn't just happen in Afghanistan. #NJLGBTQA16 #CallToAction #MentalHealth
792074774038052864 : I have PTSD from hearing some " Crust Belt Punks " play that " I'm Not Okay " song by My Chemical Romance like a month ago on Allen Street .	$ , O V ^ P V D , N N N , V O , L R A , N P D N N P D N R P ^ ^ ,	0.4293 0.9293 0.9969 0.9993 0.6388 0.9977 0.9774 0.9027 0.9939 0.6539 0.9358 0.9920 0.9974 0.9915 0.5591 0.9987 0.9973 0.9984 0.6060 0.9929 0.9646 0.9997 0.9917 0.8201 0.9827 0.9801 0.9961 0.9983 0.9671 0.9905 0.9983 0.8970 0.9936	792074774038052864: I have PTSD from hearing some "Crust Belt Punks" play that "I'm Not Okay" song by My Chemical Romance like a month ago on Allen Street.
